segment_id,profile_id,in_train,label_kmeans,label_gmm,label_hdbscan,label_kmedoids_dtw
20_73,20,False,1,0,2,0
20_74,20,False,1,0,2,1
20_75,20,False,1,0,2,1
20_76,20,False,1,0,-1,0
20_77,20,False,1,0,-1,0
20_78,20,False,1,0,-1,0
21_79,21,True,1,0,-1,0
21_80,21,True,1,0,-1,1
23_81,23,True,1,0,-1,0
23_82,23,True,1,0,-1,1
24_83,24,True,1,0,-1,0
24_84,24,True,1,0,-1,1
26_85,26,False,1,0,-1,0
26_86,26,False,1,0,-1,1
27_87,27,True,1,0,-1,0
27_88,27,True,1,0,2,1
27_89,27,True,1,0,-1,0
27_90,27,True,1,0,1,0
27_91,27,True,1,0,2,0
27_92,27,True,1,0,2,1
27_93,27,True,1,0,2,0
27_94,27,True,1,0,-1,0
27_95,27,True,1,0,-1,0
27_96,27,True,1,0,1,0
27_97,27,True,1,0,-1,0
27_98,27,True,1,0,-1,0
27_99,27,True,1,0,-1,0
27_100,27,True,1,0,-1,0
27_101,27,True,1,0,2,1
29_102,29,True,1,0,-1,0
29_103,29,True,1,0,-1,0
29_104,29,True,1,0,1,0
29_105,29,True,1,0,-1,0
29_106,29,True,1,0,1,0
29_107,29,True,1,0,2,1
29_108,29,True,1,0,2,0
29_109,29,True,1,0,-1,0
29_110,29,True,1,0,1,0
29_111,29,True,1,0,2,1
29_112,29,True,1,0,-1,0
29_113,29,True,1,0,-1,0
29_114,29,True,1,0,2,1
30_115,30,True,1,0,-1,0
30_116,30,True,1,0,2,0
30_117,30,True,1,0,2,1
30_118,30,True,1,0,-1,0
30_119,30,True,1,0,-1,0
30_120,30,True,1,0,-1,0
30_121,30,True,1,0,2,1
31_122,31,True,1,0,-1,0
31_123,31,True,1,0,-1,0
31_124,31,True,1,0,-1,0
31_125,31,True,1,0,1,0
31_126,31,True,1,0,1,0
31_127,31,True,1,0,-1,0
32_128,32,True,1,0,-1,0
32_129,32,True,1,0,-1,0
32_130,32,True,1,0,1,0
32_131,32,True,1,0,2,1
32_132,32,True,1,0,-1,0
32_133,32,True,1,0,-1,0
32_134,32,True,1,0,-1,0
32_135,32,True,1,0,2,0
32_136,32,True,1,0,-1,0
32_137,32,True,1,0,1,0
36_138,36,True,1,0,-1,0
36_139,36,True,1,0,2,1
36_140,36,True,1,0,-1,0
36_141,36,True,1,0,2,1
36_142,36,True,1,0,-1,0
36_143,36,True,1,0,2,1
36_144,36,True,1,0,2,0
36_145,36,True,1,0,2,1
36_146,36,True,1,0,-1,0
36_147,36,True,1,0,2,1
36_148,36,True,1,0,2,0
36_149,36,True,1,0,2,1
36_150,36,True,1,0,-1,0
36_151,36,True,1,0,-1,1
41_152,41,True,1,1,2,0
41_153,41,True,1,1,2,0
41_154,41,True,1,1,1,0
41_155,41,True,1,0,1,0
41_156,41,True,1,1,1,0
41_157,41,True,1,0,-1,0
41_158,41,True,1,0,-1,1
41_159,41,True,1,0,-1,0
41_160,41,True,1,0,2,1
41_161,41,True,1,0,2,0
41_162,41,True,1,2,2,0
41_163,41,True,1,0,-1,0
41_164,41,True,1,0,-1,0
41_165,41,True,1,2,2,0
